age_range,name,gender,marital_status,household_size,education_level,ethnicity,language_preferences,nationality,occupation,religion,date_of_birth,geographic_mobility,citizenship_status,birthplace,military_service
18-24,Harper,Female,Widowed,3-4,Doctorate,Hispanic,Spanish,USA,Self-employed,Christianity,1971-03-17,Moderate,Work Visa,Rural,Yes
45-54,Derek,Non-Binary,Divorced,2,Undergraduate,Asian,Other,Australia,Self-employed,Atheism,1947-05-20,Low,Work Visa,Urban,Yes
35-44,Brooke,Male,Married,2,Doctorate,Caucasian,Other,Australia,Student,Hinduism,1952-10-12,High,Work Visa,Suburban,No
18-24,Amelia,Female,Single,1,Undergraduate,Hispanic,Other,India,Self-employed,Islam,1956-08-13,High,Work Visa,Rural,No
25-34,George,Female,Divorced,5+,Postgraduate,Caucasian,Spanish,USA,Student,Hinduism,1957-07-26,Low,Permanent Resident,Suburban,Yes
<18,Victor,Male,Married,1,Undergraduate,Asian,Other,Australia,Retired,Hinduism,1992-11-07,Low,Citizen,Rural,Yes
25-34,Elliot,Non-Binary,Divorced,3-4,High School,African American,Spanish,Australia,Professional,Other,1964-05-03,High,Citizen,Rural,No
35-44,Xavier,Male,Widowed,1,High School,Other,Spanish,India,Self-employed,Islam,1977-09-16,Moderate,Citizen,Urban,No
35-44,Liam,Male,Single,5+,Doctorate,African American,Mandarin,Australia,Professional,Buddhism,1966-06-16,Low,Permanent Resident,Rural,No
25-34,Peyton,Non-Binary,Single,5+,Undergraduate,Asian,English,USA,Retired,Atheism,1955-01-02,Low,Citizen,Suburban,No
18-24,Michael,Male,Single,3-4,Doctorate,Hispanic,French,Canada,Retired,Buddhism,1983-08-26,Moderate,Work Visa,Urban,No
55-64,Taylor,Non-Binary,Widowed,1,Undergraduate,Hispanic,Mandarin,UK,Student,Atheism,1974-10-22,Low,Permanent Resident,Rural,Yes
<18,Gabriel,Female,Widowed,3-4,Undergraduate,Hispanic,French,India,Retired,Islam,1984-08-26,Moderate,Permanent Resident,Suburban,No
18-24,Reed,Male,Widowed,3-4,High School,Caucasian,Mandarin,Canada,Student,Atheism,1955-11-23,Moderate,Citizen,Rural,Yes
18-24,Reed,Male,Single,2,High School,African American,English,Canada,Self-employed,Islam,1990-02-04,Moderate,Other,Suburban,No
18-24,Tina,Non-Binary,Widowed,5+,High School,African American,English,UK,Self-employed,Atheism,1975-06-27,High,Work Visa,Suburban,No
18-24,Lucas,Female,Widowed,5+,Postgraduate,Caucasian,Other,Australia,Student,Buddhism,1977-05-18,Moderate,Work Visa,Suburban,No
<18,Riley,Non-Binary,Widowed,5+,Undergraduate,African American,English,USA,Self-employed,Christianity,1940-03-29,Moderate,Permanent Resident,Urban,Yes
<18,Felicity,Non-Binary,Married,1,Undergraduate,Asian,English,Canada,Student,Buddhism,1981-07-01,Moderate,Work Visa,Suburban,No
55-64,Ursula,Non-Binary,Married,5+,Doctorate,Other,Other,Australia,Self-employed,Hinduism,1982-05-26,Moderate,Citizen,Suburban,No
45-54,Parker,Non-Binary,Widowed,1,High School,Asian,Spanish,UK,Self-employed,Hinduism,1990-10-12,Low,Work Visa,Rural,No
<18,Alice,Female,Married,5+,High School,African American,Other,UK,Retired,Islam,2004-04-24,Low,Work Visa,Suburban,Yes
35-44,Gabriel,Non-Binary,Single,5+,Postgraduate,Hispanic,English,UK,Student,Hinduism,1994-07-05,Moderate,Work Visa,Urban,Yes
35-44,Dakota,Male,Divorced,5+,Doctorate,Hispanic,Spanish,Australia,Self-employed,Hinduism,1984-10-06,Low,Other,Suburban,No
35-44,Zeke,Male,Married,2,Postgraduate,Asian,Other,USA,Professional,Atheism,1999-08-10,Low,Citizen,Rural,No
65+,Carter,Female,Divorced,1,Undergraduate,Hispanic,French,India,Student,Atheism,1942-11-15,Moderate,Work Visa,Rural,Yes
<18,Logan,Non-Binary,Single,2,Undergraduate,Other,French,Australia,Retired,Hinduism,1993-08-08,Low,Other,Suburban,Yes
<18,Maddox,Male,Divorced,1,Postgraduate,Hispanic,Other,India,Retired,Other,1960-01-07,Low,Work Visa,Suburban,Yes
35-44,Zeke,Male,Widowed,1,Doctorate,African American,English,UK,Retired,Atheism,1980-01-15,High,Work Visa,Rural,No
25-34,Benjamin,Non-Binary,Widowed,2,High School,Other,Other,UK,Student,Islam,1952-01-05,Moderate,Other,Urban,No
35-44,Vivian,Non-Binary,Divorced,3-4,Postgraduate,Caucasian,English,India,Self-employed,Other,1965-11-24,High,Permanent Resident,Suburban,No
55-64,Asher,Male,Married,3-4,Doctorate,Asian,Spanish,UK,Professional,Other,2003-07-26,Moderate,Other,Rural,Yes
45-54,Ava,Female,Single,2,Undergraduate,Asian,Mandarin,Australia,Professional,Islam,1990-03-27,High,Citizen,Rural,No
<18,Daisy,Non-Binary,Divorced,2,Postgraduate,Hispanic,English,USA,Student,Hinduism,1980-06-24,Low,Work Visa,Urban,No
35-44,Mason,Non-Binary,Widowed,3-4,High School,Other,Other,Australia,Retired,Buddhism,1974-12-18,Low,Other,Suburban,No
18-24,Benjamin,Non-Binary,Single,1,High School,Other,French,UK,Retired,Other,1941-04-05,High,Work Visa,Suburban,No
45-54,Charlie,Non-Binary,Divorced,5+,Postgraduate,Other,French,USA,Retired,Hinduism,1975-07-14,Moderate,Permanent Resident,Suburban,Yes
35-44,Gianna,Non-Binary,Widowed,1,High School,Asian,Other,Australia,Retired,Christianity,1979-01-26,Low,Citizen,Suburban,No
65+,Jamie,Female,Single,5+,Doctorate,African American,French,USA,Self-employed,Hinduism,1971-01-14,High,Work Visa,Suburban,No
45-54,Aiden,Male,Divorced,1,Doctorate,Other,Mandarin,India,Self-employed,Christianity,1985-09-02,Moderate,Citizen,Suburban,Yes
45-54,Wendy,Male,Married,2,Doctorate,Asian,English,Canada,Student,Buddhism,2002-01-09,High,Permanent Resident,Suburban,Yes
18-24,Samuel,Male,Widowed,5+,Postgraduate,Other,Other,India,Retired,Other,1966-05-25,Moderate,Citizen,Urban,No
35-44,Taylor,Non-Binary,Divorced,3-4,Doctorate,African American,Other,India,Retired,Atheism,1949-06-09,Low,Permanent Resident,Suburban,No
55-64,Jasper,Non-Binary,Single,5+,Doctorate,Caucasian,French,India,Professional,Buddhism,1994-09-16,Moderate,Permanent Resident,Rural,Yes
55-64,Uma,Male,Widowed,1,Postgraduate,Caucasian,French,UK,Retired,Other,1983-04-03,Moderate,Permanent Resident,Urban,Yes
45-54,Uma,Female,Divorced,5+,High School,Caucasian,Mandarin,India,Self-employed,Hinduism,2005-09-19,Low,Citizen,Suburban,No
18-24,Harper,Female,Widowed,1,High School,Asian,Spanish,Australia,Student,Islam,2001-11-24,High,Work Visa,Urban,Yes
45-54,Hannah,Non-Binary,Widowed,2,Undergraduate,Caucasian,Mandarin,UK,Professional,Buddhism,1976-04-21,Moderate,Permanent Resident,Rural,Yes
<18,Prarthana,Non-Binary,Divorced,2,Postgraduate,Hispanic,Other,Canada,Student,Other,1946-01-25,Low,Permanent Resident,Rural,No
55-64,Flynn,Male,Widowed,5+,Postgraduate,Hispanic,Other,USA,Professional,Christianity,2006-06-25,Moderate,Other,Rural,Yes
18-24,Imogen,Male,Widowed,5+,Doctorate,Hispanic,English,Australia,Professional,Buddhism,1952-11-19,High,Other,Urban,Yes
<18,Peter,Non-Binary,Single,2,High School,Asian,English,UK,Retired,Hinduism,1970-08-27,Low,Other,Suburban,No
35-44,Quintin,Female,Single,1,Postgraduate,Caucasian,French,Australia,Self-employed,Christianity,1948-05-31,High,Citizen,Rural,No
55-64,Peyton,Non-Binary,Divorced,2,Doctorate,Asian,English,Australia,Professional,Buddhism,2000-11-16,Moderate,Work Visa,Urban,No
55-64,Zack,Male,Single,2,Undergraduate,Hispanic,French,Canada,Retired,Hinduism,1985-03-04,Moderate,Citizen,Rural,No
35-44,Nora,Female,Divorced,5+,Undergraduate,African American,Mandarin,Australia,Professional,Buddhism,1953-11-28,Moderate,Work Visa,Urban,Yes
45-54,Harriet,Non-Binary,Divorced,3-4,High School,African American,Spanish,UK,Student,Hinduism,1975-12-30,High,Citizen,Suburban,No
55-64,Dakota,Male,Widowed,2,High School,Other,Spanish,UK,Professional,Buddhism,1993-08-30,Low,Citizen,Rural,Yes
65+,Amelia,Female,Married,1,High School,Asian,English,Australia,Professional,Other,1968-04-01,High,Citizen,Rural,Yes
25-34,Oscar,Male,Single,2,High School,Asian,Spanish,Canada,Self-employed,Islam,1960-03-20,High,Permanent Resident,Rural,Yes
45-54,Ulysses,Female,Married,5+,Undergraduate,Asian,Spanish,Australia,Self-employed,Buddhism,1981-04-17,Low,Other,Urban,Yes
25-34,Prarthana,Female,Widowed,5+,High School,Caucasian,French,Canada,Self-employed,Christianity,1949-12-06,Low,Other,Suburban,Yes
45-54,Finn,Female,Divorced,5+,Postgraduate,African American,Spanish,India,Professional,Other,1957-09-02,Low,Permanent Resident,Suburban,No
35-44,Veronica,Male,Divorced,1,Postgraduate,Asian,Spanish,India,Student,Islam,1982-12-06,Low,Other,Urban,No
25-34,Yvette,Female,Widowed,1,High School,Caucasian,Other,India,Student,Buddhism,2000-11-13,Low,Citizen,Rural,No
18-24,Elena,Non-Binary,Divorced,2,Postgraduate,Caucasian,Spanish,USA,Student,Other,1990-04-26,Low,Other,Suburban,No
45-54,Adam,Female,Divorced,5+,Undergraduate,Caucasian,Spanish,UK,Retired,Islam,2004-02-25,Low,Citizen,Urban,Yes
45-54,Jack,Male,Single,2,Doctorate,Other,English,USA,Self-employed,Atheism,1972-02-10,Moderate,Other,Rural,No
25-34,Vanessa,Male,Single,5+,Undergraduate,African American,French,USA,Student,Christianity,1981-06-13,High,Other,Rural,No
55-64,Piper,Female,Divorced,2,Undergraduate,Other,Spanish,USA,Retired,Buddhism,1990-11-06,High,Work Visa,Suburban,No
55-64,Peyton,Non-Binary,Widowed,2,Doctorate,Asian,Mandarin,UK,Professional,Hinduism,1980-05-14,High,Other,Suburban,Yes
18-24,Derek,Non-Binary,Married,5+,Undergraduate,Asian,French,Australia,Professional,Buddhism,1970-10-13,Low,Citizen,Rural,No
<18,Jordan,Male,Widowed,1,Postgraduate,African American,Mandarin,Australia,Retired,Buddhism,1947-11-17,Moderate,Citizen,Urban,Yes
<18,Delilah,Male,Married,2,Undergraduate,Asian,English,Canada,Self-employed,Other,1953-08-29,Moderate,Other,Urban,Yes
65+,Sophia,Female,Widowed,5+,High School,Caucasian,Other,Canada,Self-employed,Other,1971-08-24,Low,Citizen,Rural,Yes
65+,Henry,Male,Widowed,3-4,Doctorate,African American,Spanish,Australia,Student,Other,1965-12-17,Moderate,Permanent Resident,Rural,No
<18,Yara,Female,Divorced,5+,Postgraduate,African American,French,India,Self-employed,Islam,1970-11-23,High,Permanent Resident,Rural,Yes
<18,Walker,Male,Widowed,2,Postgraduate,African American,English,Australia,Retired,Buddhism,1953-11-10,High,Work Visa,Rural,No
35-44,Landon,Female,Divorced,2,Undergraduate,African American,Spanish,Australia,Retired,Other,1995-10-18,Moderate,Citizen,Suburban,No
45-54,Ophelia,Non-Binary,Divorced,5+,High School,Asian,Other,Australia,Self-employed,Christianity,1992-07-25,Low,Other,Suburban,Yes
<18,Ximena,Non-Binary,Married,2,Undergraduate,African American,English,USA,Self-employed,Islam,1970-01-25,Low,Permanent Resident,Suburban,Yes
18-24,Samuel,Female,Divorced,5+,Postgraduate,Asian,Other,Canada,Retired,Islam,1946-01-10,High,Other,Urban,No
18-24,Skylar,Non-Binary,Single,1,Doctorate,Asian,English,India,Student,Hinduism,2006-04-04,Moderate,Other,Suburban,Yes
35-44,Elias,Male,Divorced,2,High School,Caucasian,Mandarin,UK,Professional,Islam,2001-05-22,Moderate,Other,Rural,Yes
35-44,Reed,Non-Binary,Married,3-4,Postgraduate,Hispanic,Spanish,USA,Professional,Buddhism,2003-11-12,Moderate,Other,Suburban,Yes
45-54,Zack,Male,Widowed,3-4,Undergraduate,Other,English,UK,Retired,Islam,1953-04-08,High,Permanent Resident,Suburban,No
65+,Ivan,Female,Married,1,High School,Asian,Mandarin,UK,Professional,Other,2006-07-06,Low,Other,Urban,No
35-44,Jade,Male,Divorced,2,Doctorate,Asian,Mandarin,USA,Professional,Christianity,1974-05-29,High,Citizen,Suburban,Yes
<18,Xander,Female,Widowed,5+,High School,Caucasian,Spanish,Canada,Professional,Buddhism,1972-07-25,Low,Permanent Resident,Urban,Yes
35-44,Tucker,Female,Divorced,2,Postgraduate,Other,Other,UK,Student,Atheism,1987-11-19,Moderate,Other,Rural,No
<18,Paula,Male,Widowed,3-4,Undergraduate,Hispanic,French,India,Retired,Hinduism,1942-02-19,Low,Other,Urban,Yes
55-64,Zoey,Non-Binary,Single,1,Doctorate,Asian,Spanish,Canada,Student,Hinduism,1967-05-17,Moderate,Other,Rural,No
55-64,Paisley,Female,Single,2,Postgraduate,Other,Spanish,Australia,Student,Christianity,2001-01-18,Low,Citizen,Urban,Yes
<18,Isaac,Female,Married,1,Postgraduate,Asian,Spanish,India,Student,Christianity,1969-01-09,Low,Citizen,Suburban,Yes
65+,Asher,Female,Widowed,3-4,High School,African American,Spanish,Canada,Self-employed,Christianity,1956-06-29,Moderate,Citizen,Urban,Yes
35-44,Kylie,Female,Married,2,Postgraduate,Asian,Other,India,Student,Christianity,1951-01-14,Low,Permanent Resident,Rural,Yes
65+,George,Female,Single,1,High School,Other,English,USA,Student,Buddhism,1987-09-08,Low,Citizen,Rural,Yes
35-44,Xavier,Male,Divorced,1,High School,Other,Other,UK,Retired,Christianity,1940-11-12,Moderate,Work Visa,Suburban,No
18-24,Fiona,Female,Married,5+,Doctorate,Other,English,Australia,Professional,Christianity,1982-08-29,Moderate,Citizen,Suburban,No
35-44,Brandon,Non-Binary,Married,5+,Postgraduate,African American,Spanish,UK,Professional,Christianity,1944-05-09,Low,Other,Urban,No
<18,Tina,Non-Binary,Single,5+,Undergraduate,African American,French,Canada,Self-employed,Christianity,1995-04-14,Low,Citizen,Suburban,No
<18,Kaitlyn,Female,Widowed,5+,Undergraduate,African American,Mandarin,UK,Retired,Buddhism,1982-11-24,High,Other,Rural,No
65+,Nicholas,Non-Binary,Widowed,1,High School,Hispanic,Mandarin,Canada,Retired,Atheism,1997-08-05,High,Citizen,Rural,No
18-24,Samuel,Non-Binary,Married,1,Undergraduate,Asian,Spanish,Australia,Self-employed,Atheism,1985-09-01,Moderate,Permanent Resident,Suburban,No
65+,Jacob,Male,Married,2,High School,Caucasian,English,Australia,Student,Buddhism,2002-11-15,High,Permanent Resident,Urban,Yes
25-34,Quinn,Non-Binary,Divorced,2,Postgraduate,African American,French,Canada,Professional,Hinduism,1968-09-21,Low,Permanent Resident,Urban,Yes
18-24,Harriet,Non-Binary,Divorced,1,Postgraduate,Hispanic,Mandarin,Canada,Student,Christianity,1990-08-13,High,Permanent Resident,Rural,No
18-24,Fiona,Female,Single,5+,High School,Asian,Other,Australia,Student,Islam,1973-02-04,Moderate,Other,Rural,Yes
18-24,Adam,Female,Divorced,3-4,Doctorate,Asian,French,Canada,Professional,Christianity,1999-06-11,High,Citizen,Suburban,No
65+,Jade,Female,Divorced,1,High School,African American,Spanish,Canada,Student,Other,1945-11-09,Moderate,Citizen,Urban,No
55-64,Landon,Male,Married,2,High School,Hispanic,English,UK,Self-employed,Other,1982-07-14,High,Citizen,Suburban,No
18-24,Sienna,Female,Single,1,Postgraduate,Caucasian,French,Australia,Self-employed,Other,1974-11-15,Low,Work Visa,Urban,No
<18,Miles,Non-Binary,Divorced,5+,Postgraduate,African American,Spanish,Australia,Retired,Hinduism,1966-12-04,Moderate,Citizen,Suburban,No
35-44,Kennedy,Non-Binary,Widowed,3-4,Doctorate,African American,Other,Canada,Retired,Other,1966-08-30,Low,Permanent Resident,Suburban,Yes
45-54,Rose,Female,Married,3-4,Doctorate,African American,Other,UK,Student,Christianity,1955-09-24,Low,Permanent Resident,Urban,No
65+,Uriah,Female,Single,3-4,Doctorate,African American,Spanish,UK,Student,Other,1980-12-08,Moderate,Work Visa,Suburban,No
45-54,Mason,Female,Widowed,5+,Undergraduate,Hispanic,French,UK,Professional,Christianity,2002-07-09,Low,Citizen,Rural,No
55-64,Ethan,Male,Married,2,Doctorate,Hispanic,Spanish,USA,Professional,Christianity,2002-05-17,High,Citizen,Suburban,Yes
18-24,Fiona,Female,Married,5+,Undergraduate,Hispanic,Spanish,Australia,Student,Atheism,1982-11-30,Low,Permanent Resident,Suburban,No
35-44,Yara,Female,Married,2,Doctorate,Other,Other,India,Retired,Islam,1959-02-16,High,Other,Rural,No
65+,Dakota,Female,Single,5+,Doctorate,Other,French,USA,Self-employed,Christianity,1956-11-04,Moderate,Permanent Resident,Urban,Yes
<18,Uma,Female,Single,5+,Undergraduate,African American,Other,USA,Professional,Hinduism,1976-01-22,Moderate,Citizen,Suburban,No
65+,Brooke,Non-Binary,Divorced,2,Doctorate,African American,French,UK,Self-employed,Christianity,1976-09-19,Moderate,Citizen,Suburban,No
<18,Sophia,Male,Divorced,3-4,Doctorate,Hispanic,Mandarin,India,Retired,Hinduism,1951-09-22,Moderate,Permanent Resident,Urban,No
<18,Rose,Non-Binary,Widowed,3-4,Undergraduate,Caucasian,Mandarin,USA,Retired,Atheism,1966-12-15,Moderate,Citizen,Rural,Yes
25-34,Asher,Male,Single,3-4,Postgraduate,Asian,French,India,Self-employed,Christianity,1966-02-14,High,Permanent Resident,Rural,No
18-24,Mason,Non-Binary,Divorced,2,High School,Other,Spanish,UK,Professional,Buddhism,1962-09-01,Low,Citizen,Urban,No
45-54,Cameron,Male,Single,5+,Doctorate,Asian,English,Australia,Self-employed,Hinduism,1946-01-16,High,Permanent Resident,Suburban,No
45-54,Hazel,Male,Divorced,3-4,Postgraduate,African American,English,USA,Student,Hinduism,1972-02-02,Moderate,Citizen,Urban,No
25-34,Zeke,Non-Binary,Single,3-4,Doctorate,Asian,Spanish,India,Professional,Islam,1990-01-17,High,Other,Rural,Yes
45-54,Brooke,Non-Binary,Widowed,2,High School,African American,English,Australia,Retired,Buddhism,1990-07-23,Low,Permanent Resident,Rural,No
35-44,Nathan,Male,Divorced,3-4,Undergraduate,African American,French,Australia,Student,Buddhism,1992-10-03,High,Permanent Resident,Rural,No
65+,Faith,Non-Binary,Single,3-4,Undergraduate,Asian,French,Canada,Student,Islam,1984-08-02,Moderate,Other,Urban,No
18-24,Grace,Female,Widowed,2,Undergraduate,African American,Spanish,Australia,Student,Hinduism,2006-05-27,Low,Citizen,Rural,No
45-54,Connor,Male,Married,2,High School,African American,Mandarin,Australia,Retired,Atheism,1961-01-19,Moderate,Work Visa,Rural,Yes
25-34,Hannah,Female,Married,1,Postgraduate,African American,French,USA,Retired,Buddhism,1962-05-09,Low,Work Visa,Rural,No
18-24,Mila,Male,Widowed,1,Undergraduate,African American,Other,Australia,Professional,Christianity,1968-09-21,Moderate,Permanent Resident,Urban,Yes
65+,Dean,Non-Binary,Married,3-4,Undergraduate,Hispanic,Other,Canada,Retired,Atheism,1967-02-20,Low,Work Visa,Suburban,No
65+,Gavin,Male,Married,2,High School,African American,Other,USA,Retired,Hinduism,1975-05-02,Moderate,Permanent Resident,Urban,Yes
55-64,PJAnna,Male,Married,3-4,Undergraduate,Caucasian,French,UK,Retired,Buddhism,1965-11-28,Moderate,Citizen,Urban,Yes
45-54,Colton,Non-Binary,Widowed,2,High School,Caucasian,English,UK,Self-employed,Christianity,1965-05-05,Moderate,Citizen,Suburban,No
25-34,Hannah,Non-Binary,Widowed,5+,High School,Hispanic,French,Canada,Professional,Christianity,1955-05-08,Moderate,Permanent Resident,Suburban,No
45-54,Rebecca,Male,Divorced,1,Undergraduate,Other,French,Australia,Self-employed,Atheism,1974-03-18,Low,Citizen,Urban,Yes
55-64,Gideon,Female,Widowed,3-4,Doctorate,Caucasian,Mandarin,India,Self-employed,Buddhism,1949-09-05,Low,Citizen,Urban,Yes
35-44,Zack,Female,Divorced,5+,Doctorate,Other,Mandarin,Australia,Retired,Other,2004-01-02,High,Work Visa,Rural,No
18-24,Yvonne,Male,Divorced,1,Undergraduate,African American,English,Australia,Self-employed,Christianity,1945-07-06,Low,Other,Rural,Yes
18-24,Kaitlyn,Male,Divorced,3-4,Doctorate,Asian,Other,UK,Retired,Hinduism,1947-02-10,High,Citizen,Suburban,No
65+,Sadie,Female,Single,1,Doctorate,Caucasian,French,Canada,Student,Buddhism,1952-04-12,High,Citizen,Urban,Yes
55-64,Yvonne,Non-Binary,Widowed,2,Postgraduate,Hispanic,Other,Australia,Professional,Islam,1939-08-05,Moderate,Citizen,Rural,Yes
45-54,Fiona,Non-Binary,Married,3-4,Doctorate,Hispanic,Mandarin,India,Professional,Other,1989-03-03,High,Work Visa,Urban,Yes
25-34,Harper,Non-Binary,Divorced,1,High School,Caucasian,English,USA,Retired,Other,1978-07-29,Moderate,Permanent Resident,Rural,Yes
<18,Frank,Male,Widowed,2,High School,Other,Spanish,Australia,Student,Atheism,1962-05-17,Moderate,Work Visa,Urban,No
25-34,Victoria,Non-Binary,Widowed,2,High School,Caucasian,Spanish,USA,Retired,Hinduism,1986-04-14,Moderate,Other,Rural,Yes
25-34,Nina,Male,Widowed,2,High School,Hispanic,Other,India,Student,Islam,2002-02-28,High,Other,Urban,No
18-24,Ivy,Male,Widowed,1,Postgraduate,Hispanic,Spanish,Australia,Retired,Atheism,1976-01-22,Moderate,Work Visa,Rural,No
65+,Paisley,Non-Binary,Single,3-4,Postgraduate,African American,Mandarin,Australia,Retired,Buddhism,1951-09-17,High,Permanent Resident,Rural,Yes
35-44,Ian,Female,Divorced,1,High School,African American,Mandarin,India,Professional,Buddhism,1940-02-17,Moderate,Citizen,Urban,Yes
<18,Iris,Female,Single,5+,Doctorate,Caucasian,Other,UK,Student,Islam,1994-01-24,Low,Work Visa,Rural,Yes
35-44,Daphne,Male,Divorced,2,Doctorate,Caucasian,Spanish,USA,Student,Buddhism,1992-06-06,Moderate,Citizen,Suburban,Yes
<18,Prarthana,Female,Divorced,5+,Doctorate,African American,Spanish,India,Professional,Atheism,1946-03-07,Moderate,Permanent Resident,Rural,Yes
65+,Delilah,Female,Married,2,Undergraduate,Other,Spanish,Canada,Student,Hinduism,1970-10-02,Low,Citizen,Rural,Yes
25-34,Tanner,Female,Married,2,High School,Other,English,India,Student,Christianity,1987-08-14,Moderate,Citizen,Urban,Yes
<18,Carter,Male,Single,2,Postgraduate,Other,Spanish,Canada,Professional,Hinduism,1950-07-16,Low,Citizen,Urban,Yes
65+,Julia,Non-Binary,Divorced,3-4,High School,African American,Other,India,Student,Other,1948-07-29,Low,Citizen,Suburban,No
<18,Imogen,Non-Binary,Widowed,5+,Postgraduate,Asian,Mandarin,USA,Retired,Other,1958-12-22,Moderate,Work Visa,Urban,No
<18,Julia,Female,Married,3-4,Postgraduate,Asian,Mandarin,Australia,Self-employed,Hinduism,1948-03-24,Low,Work Visa,Rural,Yes
35-44,Elliot,Non-Binary,Divorced,3-4,Undergraduate,African American,Spanish,India,Professional,Christianity,1972-07-02,High,Work Visa,Urban,Yes
35-44,Paula,Female,Widowed,5+,High School,Hispanic,Other,India,Student,Christianity,1999-10-09,Moderate,Other,Rural,Yes
18-24,Hannah,Female,Divorced,5+,Postgraduate,African American,Mandarin,Australia,Self-employed,Hinduism,1991-08-12,Low,Work Visa,Urban,Yes
25-34,Katherine,Female,Single,5+,High School,African American,French,Canada,Self-employed,Hinduism,1986-02-22,Moderate,Citizen,Suburban,Yes
25-34,Theodore,Non-Binary,Single,2,Postgraduate,Caucasian,French,USA,Student,Islam,2003-10-25,Low,Permanent Resident,Urban,No
45-54,Ivy,Male,Divorced,1,Postgraduate,Other,Spanish,UK,Self-employed,Other,1953-12-21,High,Citizen,Rural,No
35-44,Daphne,Non-Binary,Single,1,Undergraduate,Hispanic,Mandarin,UK,Professional,Islam,1946-10-17,Moderate,Permanent Resident,Rural,Yes
<18,Hudson,Non-Binary,Widowed,1,High School,Caucasian,Mandarin,India,Professional,Islam,1964-11-17,Low,Permanent Resident,Suburban,Yes
35-44,Julia,Female,Widowed,5+,Postgraduate,Caucasian,English,UK,Student,Atheism,1980-09-16,Moderate,Permanent Resident,Rural,Yes
45-54,Mia,Female,Widowed,3-4,Undergraduate,Caucasian,French,USA,Professional,Other,2000-03-26,Low,Permanent Resident,Rural,Yes
65+,Dean,Male,Single,5+,Undergraduate,Hispanic,English,India,Self-employed,Hinduism,1998-05-03,High,Citizen,Urban,No
65+,Zeke,Female,Widowed,5+,High School,African American,English,UK,Retired,Christianity,1996-12-10,High,Other,Rural,No
18-24,Karen,Female,Single,5+,Undergraduate,Hispanic,English,USA,Self-employed,Christianity,1974-01-26,High,Permanent Resident,Suburban,No
55-64,Sienna,Male,Divorced,5+,High School,Asian,Spanish,USA,Student,Islam,1988-04-12,Moderate,Citizen,Rural,No
<18,Aiden,Female,Divorced,2,Postgraduate,Caucasian,French,UK,Professional,Atheism,2003-01-24,High,Work Visa,Suburban,Yes
55-64,Sophia,Female,Married,3-4,Postgraduate,African American,French,UK,Professional,Other,1954-06-29,Low,Work Visa,Suburban,Yes
45-54,Dakota,Non-Binary,Widowed,5+,Postgraduate,Asian,Mandarin,India,Professional,Christianity,1970-05-07,Low,Work Visa,Urban,No
35-44,Violet,Non-Binary,Divorced,3-4,Doctorate,African American,French,USA,Retired,Atheism,1941-10-25,High,Permanent Resident,Rural,Yes
45-54,Charlie,Female,Widowed,2,Doctorate,Hispanic,Spanish,India,Student,Atheism,1941-09-14,Moderate,Permanent Resident,Rural,No
25-34,Asher,Non-Binary,Married,1,High School,Caucasian,Other,UK,Self-employed,Buddhism,1998-12-08,Low,Work Visa,Urban,Yes
65+,Wendy,Female,Single,3-4,Undergraduate,Caucasian,Mandarin,Canada,Professional,Other,1971-03-10,High,Work Visa,Urban,No
55-64,David,Male,Single,5+,Postgraduate,Other,English,Australia,Student,Buddhism,1946-01-07,High,Permanent Resident,Urban,Yes
35-44,Taylor,Non-Binary,Married,1,Postgraduate,Caucasian,Mandarin,UK,Professional,Buddhism,1959-07-17,Moderate,Permanent Resident,Rural,No
55-64,Zion,Male,Married,1,Doctorate,Other,French,Canada,Student,Islam,1979-02-26,High,Citizen,Rural,No
35-44,Yvonne,Male,Single,1,Postgraduate,Other,Other,India,Student,Islam,1986-08-17,Low,Work Visa,Rural,No
18-24,Diana,Female,Single,2,Doctorate,Asian,French,UK,Professional,Hinduism,2006-03-15,High,Work Visa,Rural,No
45-54,Logan,Male,Single,1,Postgraduate,Asian,Other,USA,Retired,Hinduism,1955-02-10,Moderate,Permanent Resident,Rural,Yes
18-24,Gabriel,Non-Binary,Divorced,2,High School,African American,English,USA,Retired,Buddhism,1940-10-31,Moderate,Other,Suburban,No
25-34,Liam,Female,Divorced,3-4,Postgraduate,Hispanic,Mandarin,UK,Retired,Hinduism,1988-03-15,High,Work Visa,Rural,No
18-24,Olivia,Male,Divorced,5+,Postgraduate,Hispanic,Mandarin,UK,Professional,Atheism,2003-09-23,Moderate,Work Visa,Rural,No
<18,Cameron,Female,Divorced,2,High School,Caucasian,Spanish,UK,Student,Hinduism,1958-09-03,Low,Permanent Resident,Suburban,Yes
35-44,Dakota,Non-Binary,Single,3-4,Postgraduate,Hispanic,Other,UK,Retired,Buddhism,1941-12-17,Moderate,Work Visa,Urban,Yes
55-64,George,Female,Single,3-4,High School,Hispanic,English,Canada,Professional,Atheism,1942-10-05,Low,Citizen,Rural,No
18-24,Emmett,Male,Married,2,High School,Caucasian,French,Australia,Student,Atheism,1952-03-28,Moderate,Citizen,Urban,Yes
<18,Colton,Non-Binary,Single,3-4,High School,African American,French,Australia,Self-employed,Christianity,1993-07-22,Moderate,Permanent Resident,Urban,No
<18,Ophelia,Male,Widowed,1,Undergraduate,Other,Mandarin,Canada,Professional,Hinduism,1981-05-11,Low,Citizen,Urban,No
