age_range,name,gender,marital_status,household_size,education_level,ethnicity,language_preferences,nationality,occupation,religion,date_of_birth,geographic_mobility,citizenship_status,birthplace,military_service
35-44,Yvette,Male,Married,1,Doctorate,African American,English,India,Retired,Atheism,1960-04-30,Low,Permanent Resident,Suburban,No
<18,Hudson,Female,Married,5+,Undergraduate,Other,Spanish,USA,Retired,Islam,1955-12-02,Low,Citizen,Urban,Yes
<18,Jordan,Male,Married,2,Postgraduate,Hispanic,Spanish,Canada,Self-employed,Islam,2006-07-11,Low,Work Visa,Rural,Yes
55-64,Dakota,Female,Divorced,1,Undergraduate,Other,Mandarin,UK,Retired,Other,1995-04-28,Moderate,Permanent Resident,Rural,No
35-44,Ulric,Male,Single,1,Undergraduate,Caucasian,Other,India,Professional,Hinduism,1996-12-05,Low,Other,Urban,No
35-44,Adam,Female,Single,3-4,High School,Hispanic,Other,Canada,Retired,Atheism,1978-04-22,Low,Work Visa,Urban,No
18-24,Gideon,Female,Single,3-4,Postgraduate,Asian,Other,USA,Professional,Other,1986-01-06,Low,Permanent Resident,Urban,Yes
45-54,Ava,Male,Divorced,1,Postgraduate,Other,French,USA,Professional,Islam,1982-06-29,Low,Permanent Resident,Urban,No
65+,Dean,Female,Single,1,Postgraduate,Asian,French,India,Retired,Buddhism,1956-04-09,High,Work Visa,Suburban,Yes
35-44,Isla,Non-Binary,Divorced,1,High School,African American,French,UK,Self-employed,Christianity,1945-07-30,High,Other,Rural,Yes
25-34,Jacob,Male,Married,2,Doctorate,Hispanic,English,UK,Student,Christianity,1972-12-20,Low,Work Visa,Suburban,No
55-64,Michael,Female,Single,1,Postgraduate,Other,Spanish,Canada,Self-employed,Hinduism,2002-01-03,High,Citizen,Suburban,Yes
65+,Yvonne,Female,Married,5+,Doctorate,African American,Mandarin,Australia,Professional,Buddhism,2001-12-22,Low,Other,Urban,No
65+,Warren,Male,Single,1,Doctorate,Other,Mandarin,Canada,Retired,Buddhism,1986-11-11,Moderate,Other,Rural,Yes
<18,Ulysses,Female,Divorced,2,High School,African American,Mandarin,Australia,Professional,Buddhism,1980-11-18,Low,Work Visa,Urban,Yes
55-64,Skylar,Non-Binary,Single,3-4,Postgraduate,Hispanic,Other,India,Self-employed,Islam,2000-03-07,Low,Work Visa,Suburban,Yes
35-44,Quintin,Male,Married,2,Postgraduate,Other,Mandarin,India,Self-employed,Buddhism,2002-11-24,High,Citizen,Rural,No
<18,Grace,Male,Married,5+,Postgraduate,Other,Other,Australia,Professional,Buddhism,1999-03-31,Low,Other,Urban,No
<18,Piper,Female,Married,1,Postgraduate,Other,Mandarin,USA,Student,Christianity,1961-04-18,Low,Other,Suburban,Yes
18-24,Asher,Female,Married,2,Postgraduate,African American,English,UK,Self-employed,Other,1960-11-25,High,Permanent Resident,Rural,No
<18,Wesley,Female,Divorced,2,High School,Other,Mandarin,Australia,Retired,Christianity,1963-03-23,Low,Other,Suburban,Yes
65+,Xenia,Male,Married,1,Doctorate,Caucasian,Spanish,USA,Student,Christianity,2005-11-05,Low,Other,Urban,Yes
65+,Quinton,Female,Married,2,High School,African American,French,USA,Self-employed,Islam,1956-05-26,High,Permanent Resident,Rural,Yes
18-24,Dean,Male,Single,5+,Doctorate,Caucasian,Mandarin,USA,Retired,Christianity,1978-07-08,Moderate,Citizen,Suburban,No
35-44,Bella,Female,Single,1,High School,Asian,Spanish,Canada,Student,Hinduism,1998-10-16,High,Other,Urban,Yes
55-64,Zeke,Female,Single,5+,Undergraduate,African American,English,USA,Professional,Buddhism,1966-02-18,Low,Citizen,Suburban,Yes
25-34,Jack,Female,Single,3-4,Postgraduate,Asian,Other,UK,Student,Atheism,1957-05-08,Low,Citizen,Rural,Yes
25-34,Connor,Male,Divorced,5+,High School,Other,Spanish,Australia,Student,Islam,1951-09-12,High,Permanent Resident,Rural,Yes
<18,Ximena,Non-Binary,Married,2,Postgraduate,Hispanic,Mandarin,UK,Retired,Christianity,1964-11-21,High,Citizen,Suburban,No
55-64,Violet,Male,Married,5+,High School,Asian,Mandarin,India,Professional,Atheism,1961-03-18,High,Citizen,Urban,No
18-24,Oscar,Female,Single,3-4,Postgraduate,Asian,Spanish,USA,Professional,Hinduism,1951-04-02,Moderate,Work Visa,Suburban,No
18-24,Tanner,Female,Single,5+,High School,Asian,English,UK,Professional,Christianity,1953-05-24,Moderate,Work Visa,Urban,No
55-64,Julian,Non-Binary,Married,1,Doctorate,Other,Spanish,India,Self-employed,Buddhism,1965-10-18,Low,Permanent Resident,Rural,No
<18,Finn,Female,Divorced,5+,High School,Hispanic,English,India,Professional,Christianity,1958-01-03,Moderate,Other,Urban,No
65+,Diana,Female,Married,5+,Doctorate,Other,French,India,Self-employed,Atheism,1961-08-27,Moderate,Permanent Resident,Rural,No
65+,Landon,Non-Binary,Divorced,5+,Postgraduate,Hispanic,English,Australia,Retired,Atheism,2005-12-04,High,Work Visa,Suburban,No
55-64,Grace,Non-Binary,Divorced,2,High School,Caucasian,Other,USA,Professional,Other,1947-10-15,High,Other,Rural,Yes
<18,Peter,Non-Binary,Divorced,5+,Doctorate,Hispanic,French,India,Retired,Buddhism,1943-06-13,High,Permanent Resident,Suburban,No
18-24,Walker,Male,Single,1,Undergraduate,African American,Spanish,UK,Retired,Hinduism,1961-05-05,Low,Permanent Resident,Rural,No
<18,Landon,Female,Divorced,2,Doctorate,Asian,French,India,Self-employed,Hinduism,1988-01-26,High,Work Visa,Rural,Yes
25-34,Miles,Non-Binary,Single,3-4,Undergraduate,Caucasian,English,UK,Student,Islam,1954-03-23,High,Other,Suburban,No
55-64,Blake,Non-Binary,Married,3-4,Undergraduate,Caucasian,English,USA,Student,Other,1943-12-26,Low,Citizen,Suburban,Yes
55-64,Harriet,Male,Divorced,3-4,Postgraduate,Caucasian,English,Canada,Self-employed,Christianity,2004-09-17,Low,Permanent Resident,Suburban,No
18-24,Zoey,Male,Divorced,1,Doctorate,African American,French,USA,Retired,Hinduism,2000-08-21,Low,Work Visa,Rural,No
18-24,Xochitl,Female,Single,5+,High School,Hispanic,Other,Canada,Self-employed,Atheism,1958-03-28,High,Permanent Resident,Suburban,No
55-64,Riley,Male,Married,3-4,Undergraduate,Caucasian,French,USA,Retired,Islam,1974-06-26,High,Permanent Resident,Rural,No
35-44,Elliot,Female,Divorced,3-4,Undergraduate,Asian,English,UK,Professional,Buddhism,1963-08-28,High,Work Visa,Suburban,No
65+,Diana,Female,Divorced,1,High School,Hispanic,English,Canada,Retired,Islam,1990-04-13,High,Citizen,Urban,No
35-44,Benjamin,Female,Married,2,Undergraduate,Hispanic,French,Canada,Retired,Hinduism,1980-08-11,Low,Permanent Resident,Urban,No
45-54,Leah,Female,Single,2,Doctorate,African American,English,India,Self-employed,Other,2004-10-25,High,Work Visa,Suburban,No
55-64,Kayla,Non-Binary,Divorced,3-4,Doctorate,Asian,Mandarin,India,Retired,Hinduism,1968-11-20,Moderate,Permanent Resident,Rural,Yes
45-54,Daisy,Female,Divorced,3-4,Doctorate,Other,Mandarin,India,Professional,Islam,1972-02-25,High,Work Visa,Urban,Yes
<18,Jamie,Non-Binary,Divorced,2,Doctorate,African American,Spanish,UK,Retired,Other,2000-07-29,Low,Other,Rural,No
55-64,Peyton,Female,Divorced,2,Doctorate,Caucasian,French,UK,Student,Other,1948-05-22,High,Other,Urban,No
18-24,Mason,Male,Divorced,1,Postgraduate,African American,Spanish,Canada,Professional,Buddhism,1968-05-02,Low,Citizen,Urban,No
65+,Elena,Female,Married,5+,Doctorate,Caucasian,Other,Canada,Self-employed,Other,1972-06-13,Moderate,Permanent Resident,Urban,No
45-54,Lucas,Non-Binary,Married,2,Postgraduate,Asian,French,Canada,Self-employed,Other,1959-07-20,High,Work Visa,Rural,Yes
25-34,Faith,Female,Divorced,5+,Undergraduate,Other,English,UK,Student,Other,1969-02-20,High,Work Visa,Suburban,No
45-54,Parker,Male,Married,3-4,High School,Asian,English,Australia,Self-employed,Buddhism,1992-12-18,Moderate,Permanent Resident,Urban,Yes
55-64,Adam,Male,Single,1,High School,Other,French,India,Student,Atheism,1990-02-24,High,Other,Suburban,No
45-54,Uma,Non-Binary,Married,5+,Postgraduate,African American,French,Canada,Student,Hinduism,1956-03-06,Moderate,Other,Suburban,No
65+,Parker,Male,Divorced,1,Postgraduate,Asian,Other,Canada,Student,Atheism,1977-02-10,High,Other,Urban,No
25-34,Violet,Male,Single,3-4,High School,Hispanic,French,India,Retired,Hinduism,1980-05-12,Moderate,Citizen,Rural,No
18-24,Uma,Male,Single,5+,Doctorate,African American,Other,Australia,Professional,Other,1968-08-25,Moderate,Work Visa,Rural,No
25-34,Noah,Non-Binary,Married,5+,Postgraduate,Asian,Spanish,Canada,Self-employed,Christianity,1994-01-11,Moderate,Work Visa,Rural,Yes
45-54,Elliot,Female,Married,1,Doctorate,Hispanic,Mandarin,India,Student,Atheism,1974-01-22,High,Citizen,Suburban,No
35-44,Leah,Female,Divorced,2,Doctorate,Other,English,India,Student,Christianity,1960-01-06,Moderate,Work Visa,Rural,Yes
55-64,Ursula,Female,Married,1,Postgraduate,Caucasian,English,India,Retired,Atheism,1951-01-31,Low,Permanent Resident,Urban,No
65+,Finn,Female,Married,3-4,Undergraduate,Hispanic,Spanish,Australia,Professional,Other,1976-02-11,Moderate,Citizen,Rural,Yes
65+,Gavin,Non-Binary,Married,5+,Doctorate,Other,Spanish,Australia,Self-employed,Hinduism,1981-12-05,Low,Other,Suburban,No
65+,Kayla,Female,Single,3-4,High School,African American,Spanish,Canada,Professional,Buddhism,1979-07-08,High,Citizen,Urban,No
<18,Ian,Non-Binary,Single,2,Undergraduate,African American,Other,UK,Self-employed,Christianity,1984-04-25,High,Citizen,Rural,Yes
35-44,Isla,Female,Married,3-4,Doctorate,Caucasian,French,Canada,Self-employed,Buddhism,1956-02-14,Moderate,Work Visa,Suburban,No
25-34,Tanner,Female,Married,3-4,Doctorate,African American,English,India,Student,Buddhism,2002-11-17,Low,Permanent Resident,Suburban,No
18-24,Olivia,Female,Single,3-4,High School,African American,Other,UK,Professional,Atheism,1966-01-14,Moderate,Work Visa,Urban,No
65+,Hudson,Female,Single,3-4,Postgraduate,Asian,Spanish,India,Student,Hinduism,1960-03-06,Moderate,Other,Urban,No
45-54,Claire,Male,Single,5+,Postgraduate,Asian,French,Australia,Self-employed,Atheism,1997-11-22,Low,Work Visa,Urban,No
18-24,Eve,Non-Binary,Married,3-4,Undergraduate,African American,Mandarin,Australia,Self-employed,Other,1952-02-16,Low,Work Visa,Suburban,Yes
55-64,Claire,Non-Binary,Single,1,Postgraduate,Asian,Spanish,Canada,Professional,Islam,1961-04-03,Moderate,Other,Rural,No
55-64,Walker,Non-Binary,Single,5+,Undergraduate,African American,Spanish,USA,Student,Christianity,1943-12-26,Low,Permanent Resident,Suburban,Yes
25-34,Zion,Male,Divorced,2,Undergraduate,Asian,French,Australia,Student,Other,1988-12-09,Low,Citizen,Suburban,Yes
<18,Hudson,Non-Binary,Single,1,Doctorate,Other,Other,Australia,Student,Hinduism,1944-01-06,Low,Permanent Resident,Rural,No
18-24,Uriel,Male,Divorced,5+,High School,Hispanic,French,USA,Professional,Christianity,1969-10-29,Low,Work Visa,Urban,Yes
65+,Samuel,Female,Married,2,Doctorate,Hispanic,Other,Canada,Student,Other,2002-04-26,Low,Work Visa,Suburban,No
65+,Zion,Male,Single,1,Postgraduate,Asian,Other,USA,Self-employed,Islam,1968-05-17,Low,Other,Rural,No
55-64,Harper,Non-Binary,Married,1,Postgraduate,Caucasian,Spanish,UK,Professional,Buddhism,1972-12-09,Moderate,Work Visa,Urban,Yes
55-64,Kyle,Non-Binary,Divorced,2,Doctorate,Caucasian,English,Canada,Student,Other,1940-10-04,Moderate,Other,Rural,Yes
<18,Harley,Non-Binary,Married,5+,Postgraduate,Asian,English,Canada,Self-employed,Buddhism,1977-11-24,Moderate,Citizen,Suburban,No
55-64,Yvette,Non-Binary,Divorced,1,Postgraduate,Other,Spanish,USA,Retired,Atheism,1998-06-03,High,Permanent Resident,Rural,Yes
18-24,Sadie,Non-Binary,Divorced,5+,High School,Other,Other,Australia,Retired,Buddhism,1939-01-27,Low,Permanent Resident,Suburban,No
35-44,Sadie,Male,Married,1,Doctorate,Hispanic,French,USA,Professional,Christianity,1961-10-03,High,Other,Suburban,Yes
<18,Charlie,Non-Binary,Married,5+,High School,Caucasian,English,USA,Self-employed,Hinduism,1998-03-10,Low,Other,Urban,Yes
35-44,Jasper,Female,Single,1,Undergraduate,Asian,English,Australia,Professional,Islam,1941-02-17,Low,Permanent Resident,Rural,No
65+,Isla,Male,Single,3-4,High School,Hispanic,Spanish,Canada,Self-employed,Christianity,1967-03-09,Low,Work Visa,Suburban,No
65+,Zoey,Male,Single,2,High School,Other,Spanish,Canada,Student,Other,1956-11-24,Moderate,Other,Rural,Yes
18-24,Victoria,Non-Binary,Married,3-4,Doctorate,Other,English,UK,Professional,Hinduism,1944-12-13,High,Work Visa,Rural,No
35-44,Prarthana,Male,Married,3-4,High School,Hispanic,Mandarin,India,Self-employed,Christianity,2000-09-26,Moderate,Permanent Resident,Suburban,No
55-64,Faith,Male,Married,5+,High School,Asian,French,Australia,Professional,Other,1979-10-02,Low,Other,Suburban,No
35-44,Ximena,Female,Divorced,5+,Doctorate,Other,French,UK,Professional,Atheism,1956-07-12,High,Citizen,Suburban,Yes
<18,Felicity,Female,Married,5+,Undergraduate,Caucasian,Mandarin,India,Retired,Hinduism,1975-10-04,Low,Citizen,Rural,No
25-34,Paula,Male,Single,5+,Doctorate,Asian,Spanish,Canada,Professional,Hinduism,1973-04-14,Low,Other,Rural,Yes
35-44,Maddox,Non-Binary,Married,1,Undergraduate,Other,Mandarin,Canada,Professional,Hinduism,1966-04-27,Moderate,Permanent Resident,Rural,Yes
65+,Brooke,Male,Married,2,High School,Hispanic,English,UK,Student,Hinduism,1951-06-23,Low,Other,Rural,Yes
25-34,Ulric,Non-Binary,Married,1,High School,Hispanic,Spanish,India,Retired,Christianity,1985-04-29,High,Permanent Resident,Suburban,Yes
18-24,Kylie,Male,Married,2,High School,Hispanic,Mandarin,Canada,Retired,Islam,1994-12-01,High,Other,Urban,No
65+,Olivia,Male,Divorced,3-4,Undergraduate,Other,English,UK,Professional,Other,1980-11-12,Low,Citizen,Suburban,Yes
<18,Paula,Male,Divorced,2,Undergraduate,Asian,Mandarin,USA,Retired,Christianity,1971-08-06,Low,Permanent Resident,Suburban,No
35-44,Oliver,Male,Married,3-4,High School,Hispanic,English,Canada,Student,Hinduism,1968-04-01,High,Other,Rural,Yes
<18,Owen,Female,Single,3-4,Doctorate,African American,French,Canada,Professional,Islam,2004-09-04,Low,Work Visa,Suburban,Yes
<18,Eleanor,Female,Single,5+,Undergraduate,Caucasian,French,Australia,Retired,Buddhism,1959-04-15,Low,Citizen,Suburban,Yes
55-64,Hazel,Female,Married,2,Postgraduate,Asian,Other,UK,Professional,Other,1992-10-09,Low,Other,Suburban,No
45-54,Sadie,Non-Binary,Married,3-4,Postgraduate,Hispanic,Other,UK,Student,Hinduism,1942-10-13,Low,Permanent Resident,Urban,No
45-54,Jade,Female,Divorced,3-4,Postgraduate,Asian,French,Australia,Professional,Christianity,1994-07-07,Low,Other,Suburban,Yes
<18,Quentin,Male,Divorced,3-4,Postgraduate,Asian,English,Canada,Professional,Buddhism,1957-05-01,Low,Permanent Resident,Urban,Yes
18-24,Yvonne,Male,Single,1,Doctorate,Asian,Spanish,UK,Student,Christianity,1971-12-28,Moderate,Permanent Resident,Suburban,No
18-24,Xena,Female,Married,3-4,Undergraduate,Asian,Spanish,Australia,Student,Islam,1999-10-26,Moderate,Citizen,Urban,No
25-34,Piper,Female,Single,2,Undergraduate,African American,Mandarin,Australia,Student,Islam,1997-01-11,Low,Citizen,Rural,Yes
18-24,Zane,Non-Binary,Single,3-4,High School,Other,French,UK,Professional,Atheism,1970-11-03,Moderate,Other,Urban,Yes
45-54,Dean,Male,Single,2,Postgraduate,Asian,Mandarin,UK,Retired,Islam,1945-09-24,Low,Work Visa,Suburban,Yes
45-54,Noah,Male,Single,1,Postgraduate,Other,English,Canada,Retired,Hinduism,1975-05-30,Low,Other,Urban,No
35-44,Bryson,Female,Single,2,High School,Asian,Spanish,Canada,Self-employed,Hinduism,2000-01-01,High,Other,Rural,No
45-54,Tucker,Male,Divorced,2,High School,Other,Spanish,Canada,Student,Hinduism,1946-02-03,High,Other,Suburban,No
25-34,Skylar,Non-Binary,Married,2,Doctorate,Hispanic,English,Canada,Student,Islam,1945-08-31,Moderate,Permanent Resident,Urban,Yes
45-54,Yasmin,Female,Married,2,Undergraduate,Asian,French,UK,Student,Hinduism,1978-03-11,Moderate,Permanent Resident,Rural,Yes
35-44,Sienna,Female,Married,5+,High School,Asian,French,USA,Professional,Other,1961-08-26,High,Work Visa,Suburban,Yes
65+,Amelia,Non-Binary,Single,2,High School,African American,Other,Canada,Self-employed,Hinduism,2004-01-08,Low,Permanent Resident,Suburban,No
55-64,Oliver,Male,Married,1,Postgraduate,Caucasian,Other,USA,Student,Atheism,1961-09-10,Moderate,Other,Suburban,No
45-54,Gemma,Female,Divorced,1,High School,African American,Other,Australia,Self-employed,Other,1995-05-23,Moderate,Permanent Resident,Urban,No
35-44,Quinton,Male,Married,5+,Doctorate,African American,Mandarin,Australia,Student,Buddhism,1963-08-01,High,Citizen,Rural,Yes
35-44,Isaac,Male,Divorced,3-4,Doctorate,African American,French,India,Self-employed,Christianity,1961-11-10,Moderate,Other,Suburban,Yes
55-64,Alice,Female,Single,2,Postgraduate,Asian,French,Canada,Retired,Buddhism,1945-05-28,Low,Work Visa,Rural,No
45-54,Xenia,Male,Divorced,3-4,Postgraduate,Other,Other,India,Retired,Islam,1944-07-29,Low,Permanent Resident,Urban,Yes
65+,Yvette,Male,Single,2,Undergraduate,African American,Spanish,UK,Retired,Hinduism,1947-01-29,Moderate,Permanent Resident,Urban,Yes
55-64,Piper,Female,Divorced,2,High School,Hispanic,English,UK,Professional,Islam,1958-08-16,Moderate,Permanent Resident,Urban,No
45-54,Brandon,Female,Single,5+,Doctorate,Hispanic,Other,USA,Self-employed,Other,1983-06-26,Low,Permanent Resident,Rural,Yes
65+,Thomas,Non-Binary,Divorced,2,Doctorate,Hispanic,Mandarin,USA,Self-employed,Islam,1976-08-13,High,Work Visa,Suburban,Yes
55-64,PJAnna,Male,Divorced,5+,Undergraduate,African American,French,Australia,Professional,Other,1989-12-12,High,Citizen,Suburban,Yes
25-34,Xander,Non-Binary,Divorced,2,Doctorate,Other,English,USA,Professional,Hinduism,1958-05-13,Moderate,Work Visa,Urban,No
65+,Aaron,Female,Single,2,High School,Caucasian,Other,Australia,Retired,Hinduism,1975-06-05,High,Citizen,Urban,No
55-64,Harriet,Male,Divorced,3-4,Undergraduate,Asian,English,UK,Professional,Other,1951-05-11,High,Permanent Resident,Suburban,No
45-54,Asher,Female,Married,3-4,Doctorate,Other,English,India,Professional,Christianity,2004-05-23,High,Permanent Resident,Rural,No
45-54,Amelia,Non-Binary,Married,1,Doctorate,Asian,French,India,Student,Christianity,1965-06-12,Moderate,Citizen,Suburban,Yes
45-54,Zeke,Male,Divorced,1,High School,Other,English,USA,Professional,Islam,1985-12-21,High,Work Visa,Rural,No
55-64,Hudson,Female,Married,1,Undergraduate,Other,French,UK,Professional,Other,2006-02-20,High,Citizen,Suburban,No
35-44,Piper,Male,Divorced,2,Doctorate,Other,English,UK,Retired,Buddhism,1988-01-21,Low,Work Visa,Suburban,Yes
45-54,Owen,Female,Married,1,High School,Hispanic,French,Canada,Student,Christianity,1999-05-23,Low,Other,Urban,No
45-54,Rachel,Male,Divorced,2,Undergraduate,Other,Other,India,Professional,Buddhism,1965-02-09,Low,Citizen,Suburban,No
18-24,Adam,Female,Married,3-4,Undergraduate,Hispanic,Spanish,UK,Professional,Christianity,1974-11-22,Low,Other,Suburban,No
25-34,Zion,Non-Binary,Divorced,2,High School,Other,Other,Canada,Self-employed,Christianity,2002-11-13,Moderate,Work Visa,Rural,No
25-34,Connor,Male,Divorced,1,Undergraduate,Asian,English,UK,Self-employed,Hinduism,1985-08-03,High,Citizen,Rural,No
35-44,Mila,Female,Single,2,High School,Asian,French,Canada,Retired,Atheism,1987-11-24,Moderate,Other,Urban,Yes
18-24,Parker,Male,Divorced,1,Undergraduate,African American,French,India,Retired,Buddhism,1940-02-19,Moderate,Citizen,Suburban,No
35-44,Sebastian,Female,Single,1,High School,Caucasian,Other,UK,Retired,Atheism,1953-09-06,Moderate,Other,Rural,No
25-34,Victoria,Female,Married,1,Doctorate,Other,Other,USA,Professional,Other,1965-01-15,High,Permanent Resident,Urban,Yes
55-64,Miles,Male,Single,1,Doctorate,Caucasian,English,UK,Student,Atheism,1993-12-21,Low,Other,Suburban,No
35-44,Connor,Male,Married,2,Undergraduate,Hispanic,Spanish,UK,Retired,Hinduism,1974-09-07,Low,Permanent Resident,Suburban,Yes
55-64,Gabriel,Female,Divorced,5+,Doctorate,African American,Spanish,Canada,Student,Buddhism,2002-01-18,High,Work Visa,Rural,No
55-64,Zeke,Non-Binary,Married,2,Postgraduate,Asian,Mandarin,USA,Professional,Islam,1950-08-05,Moderate,Permanent Resident,Suburban,No
45-54,Grayson,Female,Married,2,Postgraduate,African American,French,UK,Retired,Other,2005-10-01,Low,Citizen,Suburban,Yes
25-34,Oliver,Female,Single,3-4,High School,Hispanic,Other,USA,Self-employed,Buddhism,1941-12-29,Low,Work Visa,Urban,No
18-24,Wendy,Female,Married,3-4,Postgraduate,Caucasian,Other,Australia,Professional,Islam,1940-10-04,High,Other,Suburban,Yes
55-64,Nicholas,Male,Single,3-4,Undergraduate,African American,French,India,Retired,Christianity,1998-12-10,Low,Citizen,Urban,No
18-24,Wyatt,Non-Binary,Divorced,1,Postgraduate,African American,Mandarin,Canada,Retired,Islam,1946-04-19,Moderate,Other,Rural,No
18-24,Xander,Non-Binary,Divorced,2,Postgraduate,Caucasian,Mandarin,UK,Self-employed,Hinduism,1953-06-16,High,Other,Rural,Yes
18-24,Ulysses,Female,Married,2,Doctorate,Hispanic,Other,UK,Student,Islam,1954-05-02,Moderate,Other,Suburban,Yes
18-24,Peter,Female,Married,1,Doctorate,Other,English,UK,Retired,Other,1996-06-02,Moderate,Permanent Resident,Suburban,Yes
35-44,Laura,Female,Single,5+,High School,Hispanic,English,India,Retired,Hinduism,1968-07-17,Moderate,Permanent Resident,Suburban,No
25-34,Uriah,Male,Single,1,Undergraduate,Caucasian,Mandarin,India,Student,Other,2001-04-07,Low,Work Visa,Suburban,Yes
<18,Elena,Male,Divorced,1,Doctorate,Asian,French,Australia,Student,Christianity,1963-04-16,Low,Citizen,Urban,Yes
<18,PJAnna,Female,Single,2,Doctorate,Other,English,USA,Student,Hinduism,1951-02-05,Low,Other,Rural,Yes
18-24,Prarthana,Male,Divorced,3-4,High School,Asian,English,UK,Retired,Atheism,1941-05-15,High,Citizen,Rural,No
55-64,Ximena,Male,Divorced,2,Doctorate,Caucasian,Mandarin,India,Self-employed,Christianity,1974-11-04,Moderate,Citizen,Suburban,Yes
35-44,Jack,Male,Married,3-4,High School,African American,English,Australia,Retired,Islam,1997-11-24,Low,Work Visa,Rural,Yes
45-54,Ivan,Non-Binary,Divorced,5+,High School,Hispanic,French,Australia,Student,Islam,1963-06-05,Moderate,Other,Rural,Yes
45-54,Quinton,Female,Married,1,Undergraduate,Other,Mandarin,India,Student,Atheism,1964-10-23,Moderate,Work Visa,Suburban,No
35-44,Prarthana,Non-Binary,Divorced,5+,Undergraduate,Asian,Mandarin,Australia,Self-employed,Buddhism,1962-07-09,High,Other,Rural,Yes
65+,Dean,Male,Married,2,Postgraduate,Other,Spanish,USA,Student,Buddhism,1957-10-27,Moderate,Work Visa,Urban,No
45-54,Eleanor,Male,Married,5+,Undergraduate,Other,Spanish,USA,Professional,Buddhism,2006-05-11,Low,Work Visa,Suburban,No
65+,Leah,Male,Married,2,Postgraduate,Other,Mandarin,Canada,Professional,Christianity,1954-09-14,Moderate,Work Visa,Rural,No
25-34,Yosef,Male,Divorced,1,High School,Asian,Other,UK,Retired,Islam,1962-01-06,Low,Permanent Resident,Urban,Yes
55-64,Landon,Female,Married,5+,Doctorate,African American,Other,India,Professional,Atheism,1993-01-29,High,Permanent Resident,Suburban,No
18-24,Sadie,Non-Binary,Married,1,Postgraduate,Asian,French,Australia,Retired,Buddhism,1941-10-18,Moderate,Other,Urban,Yes
35-44,Veronica,Non-Binary,Single,1,High School,African American,Spanish,India,Student,Atheism,1994-12-20,Low,Other,Suburban,No
65+,Olivia,Male,Divorced,3-4,Doctorate,Asian,Other,USA,Retired,Atheism,1979-11-25,Low,Citizen,Suburban,Yes
55-64,Karen,Non-Binary,Single,2,Postgraduate,Hispanic,English,Canada,Professional,Atheism,1970-03-29,High,Work Visa,Urban,Yes
65+,Quinton,Non-Binary,Single,1,Postgraduate,African American,Other,UK,Professional,Hinduism,1940-06-20,High,Permanent Resident,Rural,No
45-54,Nathan,Female,Married,5+,Doctorate,African American,English,USA,Self-employed,Christianity,1987-10-31,Low,Work Visa,Rural,Yes
25-34,Harry,Non-Binary,Divorced,5+,Postgraduate,Other,Other,USA,Student,Islam,1981-06-13,Moderate,Work Visa,Suburban,No
55-64,Ava,Female,Single,3-4,High School,Other,Spanish,Australia,Student,Christianity,1973-03-11,High,Work Visa,Suburban,No
45-54,Brooke,Male,Divorced,2,Postgraduate,Asian,Spanish,Canada,Student,Other,2004-07-10,High,Citizen,Urban,No
45-54,Laura,Non-Binary,Divorced,2,Doctorate,Asian,English,UK,Professional,Islam,1961-09-24,Low,Work Visa,Suburban,No
55-64,Karen,Male,Divorced,3-4,Doctorate,Caucasian,Mandarin,Australia,Student,Buddhism,1948-03-04,Low,Work Visa,Urban,Yes
25-34,Yvonne,Female,Single,1,Undergraduate,Other,Mandarin,Australia,Student,Atheism,1947-12-16,Moderate,Work Visa,Rural,No
<18,Isaac,Non-Binary,Divorced,1,High School,African American,French,Australia,Professional,Islam,1948-03-21,High,Work Visa,Suburban,Yes
18-24,Adam,Female,Married,1,High School,Asian,Spanish,UK,Retired,Atheism,1971-07-17,High,Work Visa,Rural,No
35-44,Taylor,Non-Binary,Married,1,High School,Asian,French,USA,Professional,Islam,1974-10-17,High,Other,Rural,Yes
<18,Charlie,Male,Single,1,High School,Other,English,India,Professional,Islam,1975-03-13,Moderate,Work Visa,Suburban,Yes
<18,Elena,Male,Divorced,5+,Undergraduate,Hispanic,Mandarin,USA,Professional,Buddhism,1959-12-14,High,Work Visa,Suburban,Yes
45-54,Peyton,Female,Single,1,High School,African American,Spanish,India,Professional,Islam,1996-12-12,Low,Permanent Resident,Rural,No
65+,Ophelia,Male,Single,5+,Doctorate,Asian,French,India,Student,Other,1984-04-07,Low,Work Visa,Suburban,No
55-64,Piper,Non-Binary,Divorced,5+,Doctorate,Hispanic,English,Canada,Student,Other,1976-08-11,Moderate,Citizen,Rural,Yes
55-64,Warren,Non-Binary,Divorced,3-4,Doctorate,Asian,Mandarin,Canada,Self-employed,Atheism,1940-08-28,High,Citizen,Urban,Yes
55-64,Edward,Male,Married,5+,High School,Hispanic,Spanish,India,Student,Hinduism,1978-09-27,High,Other,Suburban,Yes
<18,Uriel,Female,Divorced,2,Doctorate,Asian,French,Australia,Self-employed,Islam,1997-11-23,Moderate,Work Visa,Suburban,No
65+,Edward,Non-Binary,Divorced,5+,Doctorate,Hispanic,French,UK,Self-employed,Christianity,1995-07-16,Moderate,Citizen,Suburban,No
65+,Kennedy,Male,Married,1,Undergraduate,Other,Other,Canada,Student,Islam,1945-02-21,High,Work Visa,Rural,No
